DATE,PLAYER,STAT,LINE,PROJECTION,EDGE,KELLY_SIZE,ODDS,ACTUAL,RESULT,MARGIN
2026-01-27,Joel Embiid,PTS,27.5,33.4,5.9,10.0,-106,29.0,WIN,1.5
2026-01-27,Jalen Brunson,PRA,37.5,42.7,5.2,10.0,-122,35.0,LOSS,-2.5
2026-01-27,Jalen Brunson,REB,3.5,8.6,5.1,9.1,128,3.0,LOSS,-0.5
2026-01-27,Joel Embiid,AST,3.5,8.5,5.0,10.0,-132,5.0,WIN,1.5
2026-01-27,Jalen Brunson,PTS,28.5,32.9,4.4,8.8,100,28.0,LOSS,-0.5
2026-01-28,Jalen Brunson,PRA,35.5,41.0,5.5,10.0,-114,18.0,LOSS,-17.5
2026-01-28,Bam Adebayo,PRA,33.5,38.9,5.4,10.0,-125,40.0,WIN,6.5
2026-01-28,Kevin Durant,PRA,34.5,39.6,5.1,10.0,-114,32.0,LOSS,-2.5
2026-01-28,Jalen Brunson,PTS,25.5,29.8,4.3,10.0,-132,13.0,LOSS,-12.5
2026-01-28,Jalen Brunson,PRA,35.5,41.0,5.5,10.0,-114,18.0,LOSS,-17.5
2026-01-28,Bam Adebayo,PRA,33.5,38.9,5.4,10.0,-125,40.0,WIN,6.5
2026-01-28,Kevin Durant,PRA,34.5,39.6,5.1,10.0,-114,32.0,LOSS,-2.5
2026-01-28,Jalen Brunson,PTS,25.5,29.8,4.3,10.0,-132,13.0,LOSS,-12.5
2026-01-31,Bam Adebayo,PRA,34.5,38.9,4.4,9.7,-120,33.0,LOSS,-1.5
2026-02-01,Jalen Brunson,PRA,35.5,41.0,5.5,10.0,-118,32.0,LOSS,-3.5
2026-02-01,Bam Adebayo,PRA,33.5,38.9,5.4,10.0,-104,32.0,LOSS,-1.5
2026-02-01,Kawhi Leonard,PRA,35.5,40.5,5.0,10.0,-118,38.0,WIN,2.5
2026-02-01,Nikola Jokic,PTS,24.5,29.3,4.8,10.0,-108,16.0,LOSS,-8.5
2026-02-01,Kawhi Leonard,PTS,26.5,31.2,4.7,9.4,100,25.0,LOSS,-1.5
